Title,AirDate,Rating,Num_Votes,Season,Episode,Description
The One with All the Rugby,26 Feb. 1998,8.4,4605,4,15,"Chandler runs into Janice, and finds her more irritating than ever. Meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric switch."
The One with the Fake Party,19 Mar. 1998,8.1,4445,4,16,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.
The One with the Free Porn,26 Mar. 1998,8.5,4594,4,17,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.
The One with Rachel's New Dress,2 Apr. 1998,8.1,4362,4,18,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.
The One with All the Haste,9 Apr. 1998,8.6,4595,4,19,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.
The One with All the Wedding Dresses,16 Apr. 1998,8.4,4505,4,20,"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring."
The One with the Invitation,23 Apr. 1998,6.9,4849,4,21,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life."
The One with the Worst Best Man Ever,30 Apr. 1998,8.3,4405,4,22,"at first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous."
The One with Ross's Wedding,7 May 1998,8.6,4813,4,23,Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding.
The One with Ross's Wedding: Part 2,7 May 1998,9.1,5993,4,24,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.
The One After Ross Says Rachel,24 Sep. 1998,8.8,5114,5,1,"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together."
The One with All the Kissing,1 Oct. 1998,8.9,5252,5,2,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.
The One Hundredth,8 Oct. 1998,8.7,4819,5,3,"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones."
The One Where Phoebe Hates PBS,18 Oct. 1998,8.1,4321,5,4,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.
The One with the Kips,29 Oct. 1998,8.6,4646,5,5,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.
The One with the Yeti,5 Nov. 1998,7.9,4304,5,6,The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.
The One Where Ross Moves In,12 Nov. 1998,8.2,4371,5,7,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.
The One with All the Thanksgivings,19 Nov. 1998,9.0,5994,5,8,The gang remember and share with each other their worst Thanksgivings.
The One with Ross's Sandwich,10 Dec. 1998,9.0,5552,5,9,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.
The One with the Inappropriate Sister,17 Dec. 1998,8.0,4290,5,10,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.
The One with All the Resolutions,7 Jan. 1999,9.0,5410,5,11,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Rachel uncovers a secret. Ross runs into trouble when he wears leather pants on a date.
The One with Chandler's Work Laugh,21 Jan. 1999,8.1,4270,5,12,Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.
The One with Joey's Bag,4 Feb. 1999,7.9,4272,5,13,"Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages."
The One Where Everybody Finds Out,11 Feb. 1999,9.7,11746,5,14,"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship."
The One with the Girl Who Hits Joey,18 Feb. 1999,8.4,4499,5,15,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.
The One with the Cop,25 Feb. 1999,8.5,4635,5,16,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment."
The One with Rachel's Inadvertent Kiss,18 Mar. 1999,8.4,4314,5,17,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.
The One Where Rachel Smokes,8 Apr. 1999,7.8,4193,5,18,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance."
The One Where Ross Can't Flirt,22 Apr. 1999,8.6,4638,5,19,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced."
The One with the Ride Along,29 Apr. 1999,8.1,4186,5,20,The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.
The One with the Ball,6 May 1999,8.3,4347,5,21,"Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom, Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would."
The One with Joey's Big Break,11 May 1999,8.1,4149,5,22,"Joey drives to Las Vegas to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why."
The One in Vegas: Part 1,20 May 1999,8.7,4713,5,23,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.
The One in Vegas: Part 2,20 May 1999,9.0,5342,5,24,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.
The One After Vegas,23 Sep. 1999,8.6,4608,6,1,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.
The One Where Ross Hugs Rachel,30 Sep. 1999,8.1,4173,6,2,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.
